song_name,artist_name,album_names,playlist
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),Workday_ Pop
No Vacancy,OneRepublic,No Vacancy,Workday_ Pop
HUMBLE.,Kendrick Lamar,HUMBLE.,Workday_ Pop
First Time,Kygo,First Time,Workday_ Pop
Now Or Never,Halsey,Now Or Never,Workday_ Pop
1-800-273-8255,Logic,1-800-273-8255,Workday_ Pop
Malibu,Miley Cyrus,Malibu,Workday_ Pop
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Workday_ Pop
Cheyenne,Jason Derulo,Cheyenne,Workout Groove
She Came II Give It II U,Usher,She Came II Give It II U,Workout Groove
Rock Your Body,Justin Timberlake,Justified,Workout Groove
Peaches N Cream,Snoop Dogg,Peaches N Cream,Workout Groove
Nonstop,Drake,Scorpion,Workout Twerkout
STOOPID,6ix9ine,STOOPID,Workout Twerkout
Taste (feat. Offset),Tyga,Taste (feat. Offset),Workout Twerkout
Motiv8,J. Cole,KOD,Workout Twerkout
Drop,G-Eazy,Drop,Workout Twerkout
Lemon - Edit,N.E.R.D,Lemon (Edit),Workout Twerkout
She Bad,Cardi B,Invasion of Privacy,Workout Twerkout
LLC,Nicki Minaj,Queen,Workout Twerkout
Fight Night,Migos,No Label II,Workout Twerkout
No Limit,G-Eazy,No Limit,Workout Twerkout
Real Rich (feat. Gucci Mane),Wiz Khalifa,Rolling Papers 2,Workout Twerkout
Praise The Lord (Da Shine),A$AP Rocky,TESTING,Workout Twerkout
Ass Drop,Wiz Khalifa,Blacc Hollywood (Deluxe),Workout Twerkout
Bodak Yellow,Cardi B,Bodak Yellow,Workout Twerkout
Booty Wurk (One Cheek At a Time),T-Pain,T-Pain Presents Happy Hour: The Greatest Hits,Workout Twerkout
Up Down (Do This All Day),T-Pain,Up Down (Do This All Day),Workout Twerkout
"Work Hard, Play Hard",Wiz Khalifa,"Work Hard, Play Hard",Workout Twerkout
Beast,Migos,Culture II,Workout Twerkout
Flashed Junk Mind,Milky Chance,Sadnecessary,You & Me
Flowers In Your Hair,The Lumineers,The Lumineers,You & Me
Back To You - Joey Pecoraro Remix,Selena Gomez,Back To You (Joey Pecoraro Remix),Young & Free
Fallingwater,Maggie Rogers,Fallingwater,Young & Free
Love Lies (with Normani),Khalid,Love Lies (with Normani),Young & Free
Visions Of China,The Lumineers,C-Sides,Your Favorite Coffeehouse
