song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,playlist,Artist_and_Track_Name
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Acoustic Covers,Zella Day - Chop Suey!
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,Acoustic Covers,Zella Day - Take Me Out
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,Acoustic Covers,Zella Day - I Miss You
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,All Out 00s,The White Stripes - Best of You
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,All Out 00s,The White Stripes - I Write Sins Not Tragedies
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,All Out 00s,The White Stripes - Kryptonite
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,All Out 00s,The White Stripes - The Kill (Bury Me)
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,All Out 00s,The White Stripes - Use Somebody
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,All Out 00s,The White Stripes - No One Knows
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,Alternative 00s,The White Stripes - Jerk It Out
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,Alternative 00s,The White Stripes - Uprising
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Alternative 00s,The White Stripes - Hey There Delilah
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Alternative 00s,The White Stripes - Blurry
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,Alternative 00s,The White Stripes - American Idiot
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,Alternative 00s,The White Stripes - Welcome to the Black Parade
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,Endorphin Rush,The White Stripes - Gives You Hell
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,Endorphin Rush,The White Stripes - All My Life
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Endorphin Rush,The White Stripes - Like a Stone
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Endorphin Rush,The White Stripes - It's Been Awhile
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,Endorphin Rush,The White Stripes - I Hate Everything About You
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,Endorphin Rush,The White Stripes - Rollin' (Air Raid Vehicle)
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,Indie Workout,The White Stripes - Fat Lip
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,Indie Workout,The White Stripes - The Pretender
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Indie Workout,The White Stripes - Savior
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Indie Workout,The White Stripes - Bodies
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,Indie Workout,"The White Stripes - Sugar, We're Goin Down"
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,Indie Workout,The White Stripes - Last Nite
74,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198,00s Rock Anthems,Red Hot Chili Peppers - Through Glass
56,223826,0.000954,0.447,0.7659999999999999,0.0,10,0.113,-5.065,1,0.0313,172.011,4,0.574,00s Rock Anthems,Nickelback - The Diary of Jane - Single Version
79,223840,0.00135,0.446,0.764,0.0,10,0.099,-5.042,1,0.033,172.09400000000005,4,0.5429999999999999,00s Rock Anthems,Nickelback - Down With the Sickness
56,223826,0.000954,0.447,0.7659999999999999,0.0,10,0.113,-5.065,1,0.0313,172.011,4,0.574,All Out 00s,Nickelback - Wish You Were Here
79,223840,0.00135,0.446,0.764,0.0,10,0.099,-5.042,1,0.033,172.09400000000005,4,0.5429999999999999,All Out 00s,Nickelback - Youth Of The Nation
80,235893,0.00895,0.316,0.945,1.85e-06,4,0.396,-3.169,0,0.124,189.931,4,0.32,00s Rock Anthems,Evanescence - Vertigo
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001,00s Rock Anthems,Papa Roach - Miss Murder
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001,00s Rock Anthems,Papa Roach - I Bet You Look Good On The Dancefloor
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001,Hard Rock Workout,"Papa Roach - Steady, As She Goes"
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001,Hard Rock Workout,Papa Roach - Falling Away from Me
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,00s Rock Anthems,Jet - Crawling In The Dark
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,00s Rock Anthems,Jet - I Stand Alone
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,00s Rock Anthems,Jet - Woman
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,00s Rock Anthems,Jet - Show Me How to Live
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,One-Hit Wonders,Jet - The Red
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,One-Hit Wonders,Jet - Remedy
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,One-Hit Wonders,Jet - Plug In Baby
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,One-Hit Wonders,Jet - Change (In the House of Flies) - In The House Of Flies LP Version
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Me UP!,Jet - Judith
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Me UP!,Jet - MIA (feat. Drake)
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Me UP!,"Jet - Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Me UP!,Jet - White Boi
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Your Body,Jet - Just Wanna Love You (feat. J. Balvin)
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Your Body,Jet - Beautiful (feat. Camila Cabello)
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Your Body,Jet - Celoso
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Rock Your Body,Jet - Good Vibes
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,00s Rock Anthems,The Killers - Real Friends
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,00s Rock Anthems,The Killers - Pa La Calle
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,00s Rock Anthems,The Killers - Pa Mí
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,00s Rock Anthems,The Killers - Wake Up in the Sky
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,00s Rock Anthems,The Killers - Está Rico
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,00s Rock Anthems,The Killers - Banana Clip - Spanish Version
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,00s Rock Anthems,The Killers - YAKWTFGO (feat. Kali Uchis)
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Acoustic Covers,Run River North - Come With Me
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,Acoustic Covers,Run River North - Como Si Na
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Acoustic Covers,Run River North - Blah
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Acoustic Covers,Run River North - Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam)
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Acoustic Covers,Run River North - Mi Infinita
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Acoustic Covers,Run River North - Coqueta
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Acoustic Covers,Run River North - Sola
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,All Out 00s,The Killers - Nuestro Planeta (feat. Reykon)
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,All Out 00s,The Killers - Hijo de Su Madre
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,All Out 00s,The Killers - Lento
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,All Out 00s,The Killers - Dicen
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,All Out 00s,The Killers - BEBE
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,All Out 00s,The Killers - I Like It
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,All Out 00s,The Killers - Zooted (feat. French Montana & Farruko)
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Feeling Accomplished,The Killers - Havana - Remix
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,Feeling Accomplished,The Killers - Pum Pum
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Feeling Accomplished,The Killers - Quiero Saber
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Feeling Accomplished,The Killers - Como
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Feeling Accomplished,The Killers - Anywhere Contigo
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Feeling Accomplished,The Killers - No Gratis
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Feeling Accomplished,The Killers - Díganle - Tainy Remix
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Hella Good New Millenia Hits,The Killers - Sangria Wine
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,Hella Good New Millenia Hits,The Killers - All Day
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Hella Good New Millenia Hits,The Killers - Just As I Am
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Hella Good New Millenia Hits,The Killers - Nice & Slow
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Hella Good New Millenia Hits,The Killers - Scooby Doo Pa Pa (Remix)
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Hella Good New Millenia Hits,The Killers - Don't Werk
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Hella Good New Millenia Hits,"The Killers - 1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Indie Workout,The Killers - Pa Mi (with Ozuna)
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,Indie Workout,The Killers - Lo Siento
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Indie Workout,The Killers - Nuestra Cancion Pt. 2 (feat. Arcángel)
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Indie Workout,The Killers - La Hora Loca
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Indie Workout,The Killers - Dinero - English Version
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Indie Workout,The Killers - Pum Pum (feat. Kap G & Play-N-Skillz)
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Indie Workout,The Killers - Hora Loca
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Songs to Sing in the Shower,The Killers - Better With You
20,272000,0.8590000000000001,0.393,0.17800000000000002,0.004529999999999999,2,0.117,-12.015999999999998,1,0.0318,123.141,4,0.17800000000000002,Songs to Sing in the Shower,The Killers - NIGHTS LIKE THESE
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Songs to Sing in the Shower,The Killers - Alright
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Songs to Sing in the Shower,The Killers - Insecure
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Songs to Sing in the Shower,The Killers - Si Una Vez - (If I Once)[Spanglish Version]
80,222586,0.00108,0.33,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,Songs to Sing in the Shower,The Killers - Finesse (Remix) [feat. Cardi B]
27,222075,0.00113,0.35100000000000003,0.928,0.0,1,0.0988,-3.71,1,0.0759,148.03,4,0.239,Songs to Sing in the Shower,The Killers - Belong To U
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,00s Rock Anthems,Kings of Leon - Sunny Daze
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,00s Rock Anthems,"Kings of Leon - Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)"
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,00s Rock Anthems,Kings of Leon - Island
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,00s Rock Anthems,Kings of Leon - Crazy In Love
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,00s Rock Anthems,Kings of Leon - Rock Your Body
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,00s Rock Anthems,Kings of Leon - Beautiful Girls
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,2000s Smash Hits,Kings of Leon - Toxic
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,2000s Smash Hits,Kings of Leon - Michael Jackson x Mark Ronson: Diamonds are Invincible
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,2000s Smash Hits,Kings of Leon - Yeah!
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,2000s Smash Hits,Kings of Leon - Live Your Life (feat. Rihanna)
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,2000s Smash Hits,Kings of Leon - Hips Don't Lie
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,2000s Smash Hits,"Kings of Leon - Hey, Soul Sister"
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,All Out 00s,Kings of Leon - Pumped Up Kicks
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,All Out 00s,Kings of Leon - Love Never Felt so Good
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,All Out 00s,Kings of Leon - Hall of Fame
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,All Out 00s,Kings of Leon - All of Me
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,All Out 00s,Kings of Leon - Drops of Jupiter
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,All Out 00s,Kings of Leon - We Can't Stop
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Corre con Rock,Kings of Leon - Fighter
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Corre con Rock,Kings of Leon - Since U Been Gone
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,Corre con Rock,Kings of Leon - Hey Ya! - Radio Mix / Club Mix
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Corre con Rock,Kings of Leon - TiK ToK
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Corre con Rock,Kings of Leon - Look At Me Now
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Corre con Rock,Kings of Leon - SexyBack
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Just Get Going! 155 BPM,Kings of Leon - With You
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Just Get Going! 155 BPM,Kings of Leon - Breakeven
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,Just Get Going! 155 BPM,Kings of Leon - I Know You Want Me (Calle Ocho)
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Just Get Going! 155 BPM,Kings of Leon - Bye Bye Bye
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Just Get Going! 155 BPM,Kings of Leon - Complicated
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Just Get Going! 155 BPM,Kings of Leon - Let Me Love You
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Rock Me UP!,Kings of Leon - Beautiful
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Rock Me UP!,Kings of Leon - Raise Your Glass
45,204586,0.0016600000000000002,0.544,0.903,0.00632,9,0.1,-5.651,1,0.0545,153.629,4,0.4320000000000001,Rock Me UP!,Kings of Leon - Timber
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Rock Me UP!,Kings of Leon - What Makes You Beautiful
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Rock Me UP!,Kings of Leon - No One
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054000000000000006,153.398,4,0.374,Rock Me UP!,Kings of Leon - Sk8er Boi
78,168253,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93,00s Rock Anthems,Jimmy Eat World - Womanizer
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,00s Rock Anthems,Jimmy Eat World - Give Me Everything
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,00s Rock Anthems,Jimmy Eat World - Single Ladies (Put a Ring on It)
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,00s Rock Anthems,Jimmy Eat World - Bleeding Love
38,165853,0.0385,0.618,0.861,0.0,2,0.0604,-4.669,1,0.0552,162.14700000000005,4,0.8809999999999999,00s Rock Anthems,Jimmy Eat World - Lose My Breath
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,00s Rock Anthems,Jimmy Eat World - Love Song
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,00s Rock Anthems,Jimmy Eat World - Ms. Jackson
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,00s Rock Anthems,Jimmy Eat World - Die Young
78,168253,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93,00s Rock Anthems,Jimmy Eat World - Survivor
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,00s Rock Anthems,Jimmy Eat World - Oops!...I Did It Again
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,00s Rock Anthems,Jimmy Eat World - Cry Me a River
78,168253,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93,Certified Gold,Zedd - Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,Certified Gold,Zedd - Whatever You Like
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,Certified Gold,"Zedd - One, Two Step"
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,Certified Gold,Zedd - Unwritten
38,165853,0.0385,0.618,0.861,0.0,2,0.0604,-4.669,1,0.0552,162.14700000000005,4,0.8809999999999999,Certified Gold,Zedd - Wrecking Ball
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,Certified Gold,Zedd - So What
90,184732,0.171,0.753,0.657,0.0,7,0.112,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,Certified Gold,"Zedd - Whenever, Wherever"
55,184732,0.208,0.748,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431,Certified Gold,Zedd - Baby Boy
